;X;Y;osm_id;type;name;opening_hours;wheelchair;cuisine;phone;website;com_insee;com_nom;categorie;notation;prix;enjoyment_rate;brand;wikipedia
4;2.3651923;48.82864559973479;node/1000763319;restaurant;Chez Trassoudaine;;yes;french;;http://www.cheztrassoudaine.com/;75056;Paris;restaurant;;;;;
9;2.3887324;48.850533499729394;node/1004182252;restaurant;Le Cap Bon;;;international;;;75056;Paris;restaurant;;;;;
10;2.271067;48.8467055997303;node/1004292141;restaurant;Sushi Marché;;;japanese;;;75056;Paris;restaurant;;;;;
11;2.2773159;48.851273799729206;node/1004347836;restaurant;Chaumette;;no;traditional;+33 1 42 88 29 27;https://www.restaurantchaumette.com/;75056;Paris;restaurant;;;;;
12;2.3868742000000003;48.8414875997316;node/1005318030;fast_food;Domino's Pizza;"Mo-Fr 11:30-14:30,18:00-23:00; Sa,Su 11:30-23:15";limited;pizza;+33 140190909;;75056;Paris;restaurant;;;;;
13;2.383664;48.845346699730705;node/1005318033;restaurant;Porta da Selva;"Tu-Su 12:00-15:00,19:00-23:00; Mo 19:00-23:00";;brazilian;;;75056;Paris;restaurant;;;;;
14;2.3592093999999997;48.836941699732705;node/1005346382;restaurant;L'Empire du ravioli - 饺子帝国;;;shandong;+33 1 45 87 23 37;;75056;Paris;restaurant;;;;;
15;2.3837511;48.85132979972921;node/1005646330;restaurant;Mansouria;"Tu-Sa 11:30-15:00; Tu-Sa 17:00-19:00";;moroccan;+33954783940;;75056;Paris;restaurant;;;;;
17;2.3574683999999997;48.8765521997229;node/1007326468;restaurant;Happy Days Diner;Mo-Su 09:00-24:00;yes;burger;+33 1 42 85 59 41;https://www.happydaysdiner.com/gare-de-lest;75056;Paris;restaurant;;;;;
19;2.2731244;48.85747949972771;node/1009008546;restaurant;Alba;;no;italian_pizza;;;75056;Paris;restaurant;;;;;
20;2.2404387999999997;48.8626371997264;node/1009073534;restaurant;La Grande Cascade;;;fine_dining;+33 1 45 27 33 51;http://www.grandecascade.com/;75056;Paris;restaurant;;;;;
23;2.2920818;48.885444999720704;node/1015358428;fast_food;McDonald's;;yes;burger;;;75056;Paris;restaurant;;;;;
25;2.3505844;48.83618729973289;node/1015543476;restaurant;Hwarang;;;korean;;;75056;Paris;restaurant;;;;;
26;2.3535772;48.887589899720204;node/1015830169;restaurant;Les 3 Frères;;;moroccan;;;75056;Paris;restaurant;;;;;
27;2.3523362;48.8875653997202;node/1015830973;restaurant;Navel;"Mo 19:00-00:00; Tu-Su 12:00-14:30,19:00-00:00";;indian;+33 1 42 62 47 78;http://www.navelrestaurant.com;75056;Paris;restaurant;;;;;
