;X;Y;type;name;opening_hours;wheelchair;cuisine;phone;website;com_insee;com_nom;categorie;notation;prix;enjoyment_rate;wikipedia
4;263292.00246417156;6245835.9952043565;restaurant;Chez Trassoudaine;;yes;french;;http://www.cheztrassoudaine.com/;75056;Paris;restaurant;;;;
9;265912.4744093943;6249538.005514768;restaurant;Le Cap Bon;;;international;;;75056;Paris;restaurant;;;;
10;252814.02199740746;6248890.4568538545;restaurant;Sushi Marché;;;japanese;;;75056;Paris;restaurant;;;;
11;253509.64636342553;6249663.244455676;restaurant;Chaumette;;no;traditional;+33 1 42 88 29 27;https://www.restaurantchaumette.com/;75056;Paris;restaurant;;;;
12;265705.6205316023;6248007.830937679;fast_food;Domino's Pizza;"Mo-Fr 11:30-14:30,18:00-23:00; Sa,Su 11:30-23:15";limited;pizza;+33 140190909;;75056;Paris;restaurant;;;;
13;265348.26270225766;6248660.589745803;restaurant;Porta da Selva;"Tu-Su 12:00-15:00,19:00-23:00; Mo 19:00-23:00";;brazilian;;;75056;Paris;restaurant;;;;
14;262625.9890827045;6247238.965840652;restaurant;L'Empire du ravioli - 饺子帝国;;;shandong;+33 1 45 87 23 37;;75056;Paris;restaurant;;;;
15;265357.95862990577;6249672.718231803;restaurant;Mansouria;"Tu-Sa 11:30-15:00; Tu-Sa 17:00-19:00";;moroccan;+33954783940;;75056;Paris;restaurant;;;;
17;262432.18184923334;6253940.784656401;restaurant;Happy Days Diner;Mo-Su 09:00-24:00;yes;burger;+33 1 42 85 59 41;https://www.happydaysdiner.com/gare-de-lest;75056;Paris;restaurant;;;;
19;253043.05071776552;6250713.155588921;restaurant;Alba;;no;italian_pizza;;;75056;Paris;restaurant;;;;
20;249404.50636949288;6251585.85992803;restaurant;La Grande Cascade;;;fine_dining;+33 1 45 27 33 51;http://www.grandecascade.com/;75056;Paris;restaurant;;;;
23;255153.37883252994;6255446.1133646155;fast_food;McDonald's;;yes;burger;;;75056;Paris;restaurant;;;;
25;261665.85847461247;6247111.378092928;restaurant;Hwarang;;;korean;;;75056;Paris;restaurant;;;;
26;261999.01544665862;6255809.231376962;restaurant;Les 3 Frères;;;moroccan;;;75056;Paris;restaurant;;;;
